SPECIES_TYPE,DATA_SOURCE,TXP,VARIANT_CLASS,CANCER_TYPE,ANY_REGION_DUPLICATED,PYCLONECLONAL_SC,OVERALL_TIMING,SPECIES,SCORE_THRESHOLD,DRIVERMUT,MUTANT_EXPRESSED,NUM_MUTS,NUM_ROWS
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.10.10_264402_1yo5C00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.10.500_35_2lmdA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.10.60_124085_3a01B00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.10.60_124216_3rkqA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.10.60_124223_2l7fP00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.10.60_124330_1jggA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.10.60_124623_2dmpA01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.1070.11_1687_1e8yA05,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.1300.10_1247_2hd1A00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.1300.10_1262_1mkdA00,,,FALSE,7,7
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.1300.10_1262_1mkdA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.150.20_27163_2zj5A04,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.150.240_7295_1s8oA02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.150.40_73_1ci4A00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.150.50_4947_2e8mA01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.10.1520.10_4026_3c4bA01,,TRUE,,1,1
