SPECIES_TYPE,DATA_SOURCE,TXP,VARIANT_CLASS,CANCER_TYPE,ANY_REGION_DUPLICATED,PYCLONECLONAL_SC,OVERALL_TIMING,SPECIES,SCORE_THRESHOLD,DRIVERMUT,MUTANT_EXPRESSED,NUM_MUTS,NUM_ROWS
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,A1BG,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AARS,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AARS2,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ABCA8,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ABCB1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ABCB9,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ABCC1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACADM,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACADS,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACCS,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACHE,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACO1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACTN1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACTR1A,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACVR1B,,TRUE,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ACVR1C,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADAM12,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADAM15,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADAM19,,,FALSE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADAM8,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADAMTS10,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADAMTS18,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADAMTS2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADCY2,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADCY5,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADD3,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADD3,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADPRHL1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADSSL1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ADSSL1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AEN,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AGO1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AGO3,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AKAP13,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AKT2,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALAS1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALDH1A1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALDH1A2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALDH1L1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALDH1L1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALDOB,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALK,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALKBH3,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALOX15B,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ALX4,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ANK2,,,FALSE,3,3
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ANKDD1A,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ANXA6,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AOC1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AOX1,,,FALSE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AP1G1,,,TRUE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,AP3M1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,APBB1IP,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,APEX1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARAP3,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARG1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARHGAP31,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARHGAP31,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARNT2,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARNTL2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARSA,,,TRUE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ARSI,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ASCC3,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ASH1L,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ATG7,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ATHL1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ATHL1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ATP1A2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ATP1A3,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ATP2A3,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,ATP7B,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,B4GALT3,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,B4GALT6,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BANF1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BCL2A1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BHMT,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BHMT2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BIRC3,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BMPR1B,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BRF2,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BTRC,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,BUB3,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,C1QC,,,FALSE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,C5,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,C6,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,C8G,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,C8G,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CA13,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CA13,,,,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CADPS,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CAMK2D,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CAND2,,,,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CAPN11,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CAPN12,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CAPRIN2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CARD9,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CASP4,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CASP6,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CASP9,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CASQ2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CCM2,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CD180,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CD1C,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CD59,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDC16,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDC42BPB,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDH1,,TRUE,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDH2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDH23,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDH3,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDH4,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDK1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDK1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDK19,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDK3,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDK5RAP1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDKN2A,MC3,TRUE,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CDKN2B,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CEBPD,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CECR1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CELF3,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CELF4,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CENPE,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CES3,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CES4A,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CFI,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CHL1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CHN2,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CHRNB4,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CKMT2,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CLEC11A,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CLEC4D,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CLEC9A,,,FALSE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CLTCL1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CLTCL1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CNTN5,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CNTNAP2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,COL15A1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,COTL1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CPAMD8,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CPS1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CPXM2,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CREB5,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CREBBP,,TRUE,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CRISP2,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CRKL,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CRMP1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CRYM,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CSE1L,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CSF1R,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CSK,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CSMD1,,,,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CST6,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CTLA4,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CTSC,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CTSK,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CUBN,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP24A1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP27A1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP27B1,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP27C1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP2C9,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP2R1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP4F11,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP7B1,,,TRUE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP8B1,,,FALSE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,CYP8B1,,,,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,DBT,,,TRUE,2,2
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,DCC,,,FALSE,1,1
gene,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,DCN,,,,1,1
