SPECIES_TYPE	DATA_SOURCE	TXP	CANCER_TYPE	OVERALL_TIMING	SPECIES	tot_muts
FIEs	Tx	N	LUAD-LUSC	unknown	CDKN2A	2
FIEs	Tx	N	LUAD-LUSC	unknown	FHL2	1
FIEs	Tx	N	LUAD-LUSC	unknown	KRAS	25
FIEs	Tx	N	LUAD-LUSC	unknown	LTF	1
FIEs	Tx	N	LUAD-LUSC	unknown	NPM2	1
FIEs	Tx	N	LUAD-LUSC	unknown	PIK3CA	7
FIEs	Tx	N	LUAD-LUSC	unknown	PTPRD	1
FIEs	Tx	N	LUAD-LUSC	unknown	RAB37	1
FIEs	Tx	N	LUAD-LUSC	unknown	STK11	1
FIEs	Tx	N	LUAD-LUSC	unknown	TP53	14
FIEs	Tx	N	LUAD-LUSC	unknown	ANAPC10	1
FIEs	Tx	N	LUAD-LUSC	unknown	BRAF	3
FIEs	Tx	N	LUAD-LUSC	unknown	CRISPLD2	1
FIEs	Tx	N	LUAD-LUSC	unknown	INSR	1
FIEs	Tx	N	LUAD-LUSC	unknown	MAD2L1	1
FIEs	Tx	N	LUAD-LUSC	unknown	MAP2K1	1
FIEs	Tx	N	LUAD-LUSC	unknown	MAP2K3	1
FIEs	Tx	N	LUAD-LUSC	unknown	NR6A1	1
FIEs	Tx	N	LUAD-LUSC	unknown	PIK3CG	1
FIEs	Tx	N	LUAD-LUSC	unknown	PLA2G4A	1
FIEs	Tx	N	LUAD-LUSC	unknown	SMAD4	4
FIEs	Tx	N	LUAD-LUSC	unknown	TALDO1	1
FIEs	Tx	N	LUAD-LUSC	early	ACADM	1
FIEs	Tx	N	LUAD-LUSC	early	AKT1	1
FIEs	Tx	N	LUAD-LUSC	early	BRAF	5
FIEs	Tx	N	LUAD-LUSC	early	CASQ2	1
FIEs	Tx	N	LUAD-LUSC	early	CDKN2A	10
FIEs	Tx	N	LUAD-LUSC	early	EBF3	1
FIEs	Tx	N	LUAD-LUSC	early	EGFR	10
FIEs	Tx	N	LUAD-LUSC	early	FBP1	1
FIEs	Tx	N	LUAD-LUSC	early	FBXW7	1
FIEs	Tx	N	LUAD-LUSC	early	IDH1	1
FIEs	Tx	N	LUAD-LUSC	early	INO80	1
FIEs	Tx	N	LUAD-LUSC	early	KRAS	54
FIEs	Tx	N	LUAD-LUSC	early	MAP2K1	1
FIEs	Tx	N	LUAD-LUSC	early	MME	1
FIEs	Tx	N	LUAD-LUSC	early	NRAS	1
FIEs	Tx	N	LUAD-LUSC	early	PIK3CA	12
FIEs	Tx	N	LUAD-LUSC	early	PTEN	2
FIEs	Tx	N	LUAD-LUSC	early	PTPRD	1
FIEs	Tx	N	LUAD-LUSC	early	PTPRT	2
FIEs	Tx	N	LUAD-LUSC	early	RHPN1	1
FIEs	Tx	N	LUAD-LUSC	early	RRAS2	1
FIEs	Tx	N	LUAD-LUSC	early	SCP2	1
FIEs	Tx	N	LUAD-LUSC	early	SMARCA2	1
FIEs	Tx	N	LUAD-LUSC	early	SMARCA4	2
FIEs	Tx	N	LUAD-LUSC	early	SOS1	1
FIEs	Tx	N	LUAD-LUSC	early	STK11	4
FIEs	Tx	N	LUAD-LUSC	early	TENC1	1
FIEs	Tx	N	LUAD-LUSC	early	TP53	59
FIEs	Tx	N	LUAD-LUSC	late	DNAJC6	1
FIEs	Tx	N	LUAD-LUSC	late	ERBB4	1
FIEs	Tx	N	LUAD-LUSC	late	GPI	1
FIEs	Tx	N	LUAD-LUSC	late	ITGAX	1
FIEs	Tx	N	LUAD-LUSC	late	KDELC1	1
FIEs	Tx	N	LUAD-LUSC	late	KRAS	11
FIEs	Tx	N	LUAD-LUSC	late	PRDX3	1
FIEs	Tx	N	LUAD-LUSC	late	PTPRZ1	1
FIEs	Tx	N	LUAD-LUSC	late	RIT1	1
FIEs	Tx	N	LUAD-LUSC	late	SOX11	1
FIEs	Tx	N	LUAD-LUSC	late	TGFBR2	1
FIEs	Tx	N	LUAD-LUSC	unknown	HIST1H3J	1
FIEs	Tx	N	LUAD-LUSC	unknown	KCNC4	1
FIEs	Tx	N	LUAD-LUSC	unknown	MAGI3	1
FIEs	Tx	N	LUAD-LUSC	early	RIT1	1
FIEs	Tx	N	LUAD-LUSC	late	CSNK2A2	1
FIEs	Tx	N	LUAD-LUSC	late	CUL4A	1
FIEs	Tx	N	LUAD-LUSC	late	FLII	1
FIEs	Tx	N	LUAD-LUSC	late	GAK	1
FIEs	Tx	N	LUAD-LUSC	late	HIST1H2BC	1
FIEs	Tx	N	LUAD-LUSC	late	HIST1H3I	1
FIEs	Tx	N	LUAD-LUSC	late	MLST8	1
FIEs	Tx	N	LUAD-LUSC	late	PIK3CA	9
FIEs	Tx	N	LUAD-LUSC	late	POLK	1
FIEs	Tx	N	LUAD-LUSC	late	PTEN	1
FIEs	Tx	N	LUAD-LUSC	late	SERPINB2	1
FIEs	Tx	N	LUAD-LUSC	late	SMARCA4	2
FIEs	Tx	N	LUAD-LUSC	late	TP53	1
FIEs	Tx	N	LUAD-LUSC	late	TUBAL3	1
FIEs	Tx	N	LUAD-LUSC	late	XYLB	1
FIEs	Tx	N	LUAD-LUSC	late	ZAP70	1
FIEs	Tx	N	LUAD-LUSC	unknown	CACNB2	1
FIEs	Tx	N	LUAD-LUSC	unknown	CRYL1	1
FIEs	Tx	N	LUAD-LUSC	unknown	E2F1	1
FIEs	Tx	N	LUAD-LUSC	unknown	EIF2S1	1
FIEs	Tx	N	LUAD-LUSC	unknown	ERBB4	1
FIEs	Tx	N	LUAD-LUSC	unknown	GALNT6	1
FIEs	Tx	N	LUAD-LUSC	unknown	GOT1	1
FIEs	Tx	N	LUAD-LUSC	unknown	HIST1H2BC	1
FIEs	Tx	N	LUAD-LUSC	unknown	HIST1H3I	2
FIEs	Tx	N	LUAD-LUSC	unknown	NFATC3	1
FIEs	Tx	N	LUAD-LUSC	unknown	RAB17	1
FIEs	Tx	N	LUAD-LUSC	unknown	RIT1	1
FIEs	Tx	N	LUAD-LUSC	unknown	SMARCA4	3
FIEs	Tx	N	LUAD-LUSC	unknown	CHD2	1
FIEs	Tx	N	LUAD-LUSC	unknown	ACVR1B	1
FIEs	Tx	N	LUAD-LUSC	unknown	GRB7	1
FIEs	Tx	N	LUAD-LUSC	unknown	LCTL	1
FIEs	Tx	N	LUAD-LUSC	unknown	NRAS	1
FIEs	Tx	N	LUAD-LUSC	unknown	PTPN11	1
