DATA_SOURCE	TXP	VARIANT_CLASS	CANCER_TYPE	ANY_REGION_DUPLICATED	PYCLONECLONAL_SC	OVERALL_TIMING	SOURCE_HUGO_SYMBOL	FUNFAM	SCORE_THRESHOLD	DRIVERMUT	MUTANT_EXPRESSED	NUM_MUTS	NUM_ROWS
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	A1BG	2.60.40.10_137342_5cj8A01				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	AARS	3.30.930.10_32055_4xemA01				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	AARS2	3.30.930.10_32239_3hxuA01			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ABCA8	3.40.50.300_628823_1vplA00			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ABCB1	3.40.50.300_627204_3g5uA02			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ABCB9	1.20.1560.10_26651_3g5uA01			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ABCC1	3.40.50.300_629966_3gd7A01			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACADM	1.10.540.10_15764_1egcA01			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACADS	1.20.140.10_16374_1egcA03				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACCS	3.40.640.10_63395_3ihjA03			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACHE	3.40.50.1820_115121_1mx1A00			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACO1	3.20.19.10_4274_2b3xA05				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACTN1	1.10.418.10_4782_2e9kA01			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACTR1A	3.90.640.10_7740_5adxA03				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACVR1B	3.30.200.20_4418_1b6cB01		TRUE	TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ACVR1C	1.10.510.10_79298_1b6cB02				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADAM12	3.40.390.10_13268_4dd8A00			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADAM15	3.40.390.10_13268_4dd8A00			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADAM19	3.40.390.10_13268_4dd8A00			FALSE	2	2
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADAM8	3.40.390.10_13268_4dd8A00			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADAMTS10	3.40.390.10_13285_2rjpA01				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADAMTS18	3.40.390.10_13285_2rjpA01				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADAMTS2	3.40.390.10_13285_2rjpA01			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADCY2	3.30.70.1230_5760_1azsA00				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADCY5	3.30.70.1230_5743_1ab8A00				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADD3	3.40.225.10_3684_3ocrA00			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADD3	3.40.225.10_3684_3ocrA00				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADPRHL1	1.10.4080.10_1276_3hfwA00				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADSSL1	3.40.440.10_3574_2v40A01			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ADSSL1	3.40.440.10_3574_2v40A01			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	AEN	3.30.420.10_45603_1wljA00				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	AGO1	3.30.420.10_45932_4f3tA04			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	AGO3	2.170.260.10_1007_4f3tA02			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	AKAP13	1.20.900.10_3381_4d0nB01			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	AKT2	2.30.29.30_22238_1h10A00			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ALAS1	3.40.640.10_63070_2bwnA02			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ALDH1A1	3.40.309.10_17530_5fhzA02			TRUE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ALDH1A2	3.40.309.10_17530_5fhzA02			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ALDH1L1	3.40.309.10_17323_2o2pA02			FALSE	1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ALDH1L1	3.40.309.10_17323_2o2pA02				1	1
Tx	N	Missense_Mutation	LUAD	FALSE	C	unknown	ALDOB	3.20.20.70_118723_1aldA00			FALSE	1	1
